,Area,Archivo,Palabra,Frecuencia,TL,TD
0,SGMP,tsnptrnc,transferencia,202,4133,13
1,SGMP,tsnptrnc,pago,180,4133,13
2,SGMP,tsnptrnc,esquema,81,4133,13
3,SGMP,tsnptrnc,cuenta,73,4133,13
4,SGMP,tsnptrnc,entidad,69,4133,13
5,SGMP,tsnptrnc,fondo,68,4133,13
6,SGMP,tsnptrnc,cliente,64,4133,13
7,SGMP,tsnptrnc,deber,61,4133,13
8,SGMP,tsnptrnc,electronica,59,4133,13
9,SGMP,tsnptrnc,inmediato,50,4133,13
10,SGMP,tsnptrnc,participante,40,4133,13
11,SGMP,tsnptrnc,aceptador,40,4133,13
12,SGMP,tsnptrnc,punto,39,4133,13
13,SGMP,tsnptrnc,precio,36,4133,13
14,SGMP,tsnptrnc,financiero,35,4133,13
15,SGMP,tsnptrnc,norma,33,4133,13
16,SGMP,tsnptrnc,cada,33,4133,13
17,SGMP,tsnptrnc,ordenante,33,4133,13
18,SGMP,tsnptrnc,funcion,31,4133,13
19,SGMP,tsnptrnc,parte,30,4133,13
0,SGMP,tSNPtr,transferencia,331,7485,13
1,SGMP,tSNPtr,entidad,235,7485,13
2,SGMP,tSNPtr,pago,147,7485,13
3,SGMP,tSNPtr,campo,140,7485,13
4,SGMP,tSNPtr,registro,139,7485,13
5,SGMP,tSNPtr,transaccion,114,7485,13
6,SGMP,tSNPtr,lote,106,7485,13
7,SGMP,tSNPtr,cliente,105,7485,13
8,SGMP,tSNPtr,cuenta,98,7485,13
9,SGMP,tSNPtr,informacion,95,7485,13
10,SGMP,tSNPtr,cec,89,7485,13
11,SGMP,tSNPtr,devolucion,76,7485,13
12,SGMP,tSNPtr,deber,71,7485,13
13,SGMP,tSNPtr,receptora,65,7485,13
14,SGMP,tSNPtr,caso,61,7485,13
15,SGMP,tSNPtr,numero,61,7485,13
16,SGMP,tSNPtr,dia,57,7485,13
17,SGMP,tSNPtr,posicion,56,7485,13
18,SGMP,tSNPtr,adicional,56,7485,13
19,SGMP,tSNPtr,codigo,54,7485,13
0,SGMP,tsnpspd,deber,46,2108,13
1,SGMP,tsnpspd,cuenta,42,2108,13
2,SGMP,tsnpspd,alias,40,2108,13
3,SGMP,tsnpspd,billetera,38,2108,13
4,SGMP,tsnpspd,entidad,38,2108,13
5,SGMP,tsnpspd,financiero,38,2108,13
6,SGMP,tsnpspd,pago,37,2108,13
7,SGMP,tsnpspd,servicio,35,2108,13
8,SGMP,tsnpspd,digital,32,2108,13
9,SGMP,tsnpspd,transferencia,30,2108,13
10,SGMP,tsnpspd,cliente,28,2108,13
11,SGMP,tsnpspd,cbu,23,2108,13
12,SGMP,tsnpspd,cvu,23,2108,13
13,SGMP,tsnpspd,psp,23,2108,13
14,SGMP,tsnpspd,codigo,19,2108,13
15,SGMP,tsnpspd,clave,17,2108,13
16,SGMP,tsnpspd,posicion,17,2108,13
17,SGMP,tsnpspd,persona,17,2108,13
18,SGMP,tsnpspd,traves,16,2108,13
19,SGMP,tsnpspd,cada,15,2108,13
0,SGR,treqsi,deber,101,2399,13
1,SGR,treqsi,sistema,61,2399,13
2,SGR,treqsi,informacion,42,2399,13
3,SGR,treqsi,entidad,41,2399,13
4,SGR,treqsi,control,32,2399,13
5,SGR,treqsi,dato,29,2399,13
6,SGR,treqsi,comunicacion,28,2399,13
7,SGR,treqsi,area,24,2399,13
8,SGR,treqsi,seguridad,22,2399,13
9,SGR,treqsi,actividad,22,2399,13
10,SGR,treqsi,operacion,21,2399,13
11,SGR,treqsi,ser,20,2399,13
12,SGR,treqsi,minimo,18,2399,13
13,SGR,treqsi,existir,18,2399,13
14,SGR,treqsi,procedimiento,16,2399,13
15,SGR,treqsi,acceso,16,2399,13
16,SGR,treqsi,archivo,15,2399,13
17,SGR,treqsi,proceso,15,2399,13
18,SGR,treqsi,financiero,15,2399,13
19,SGR,treqsi,externo,14,2399,13
0,SGR,treqcac,deber,54,1704,13
1,SGR,treqcac,sistema,52,1704,13
2,SGR,treqcac,informacion,45,1704,13
3,SGR,treqcac,control,33,1704,13
4,SGR,treqcac,cambio,28,1704,13
5,SGR,treqcac,casa,27,1704,13
6,SGR,treqcac,agencia,27,1704,13
7,SGR,treqcac,dato,23,1704,13
8,SGR,treqcac,tecnologia,20,1704,13
9,SGR,treqcac,acceso,20,1704,13
10,SGR,treqcac,minimo,16,1704,13
11,SGR,treqcac,informatico,16,1704,13
12,SGR,treqcac,requisito,15,1704,13
13,SGR,treqcac,servicio,15,1704,13
14,SGR,treqcac,operacion,15,1704,13
15,SGR,treqcac,adecuado,15,1704,13
16,SGR,treqcac,aplicativo,14,1704,13
17,SGR,treqcac,usuario,14,1704,13
18,SGR,treqcac,seguridad,13,1704,13
19,SGR,treqcac,procesamiento,13,1704,13
0,SGR,trmsist,deber,435,17086,13
1,SGR,trmsist,entidad,323,17086,13
2,SGR,trmsist,rco,247,17086,13
3,SGR,trmsist,rir,244,17086,13
4,SGR,trmsist,rcc,230,17086,13
5,SGR,trmsist,financiero,217,17086,13
6,SGR,trmsist,dato,209,17086,13
7,SGR,trmsist,informacion,200,17086,13
8,SGR,trmsist,sistema,191,17086,13
9,SGR,trmsist,requisito,173,17086,13
10,SGR,trmsist,seguridad,152,17086,13
11,SGR,trmsist,control,148,17086,13
12,SGR,trmsist,rmc,133,17086,13
13,SGR,trmsist,informatico,130,17086,13
14,SGR,trmsist,servicio,127,17086,13
15,SGR,trmsist,dispositivo,106,17086,13
16,SGR,trmsist,recurso,97,17086,13
17,SGR,trmsist,usuario,97,17086,13
18,SGR,trmsist,canal,97,17086,13
19,SGR,trmsist,cliente,97,17086,13
0,SGMP,tsnppsp,pago,108,1586,13
1,SGMP,tsnppsp,servicio,41,1586,13
2,SGMP,tsnppsp,cuenta,28,1586,13
3,SGMP,tsnppsp,proveedor,27,1586,13
4,SGMP,tsnppsp,esquema,23,1586,13
5,SGMP,tsnppsp,funcion,21,1586,13
6,SGMP,tsnppsp,deber,21,1586,13
7,SGMP,tsnppsp,financiero,20,1586,13
8,SGMP,tsnppsp,psp,19,1586,13
9,SGMP,tsnppsp,entidad,19,1586,13
10,SGMP,tsnppsp,norma,19,1586,13
11,SGMP,tsnppsp,sistema,16,1586,13
12,SGMP,tsnppsp,fondo,15,1586,13
13,SGMP,tsnppsp,registro,14,1586,13
14,SGMP,tsnppsp,transferencia,14,1586,13
15,SGMP,tsnppsp,nacional,14,1586,13
16,SGMP,tsnppsp,cada,14,1586,13
17,SGMP,tsnppsp,instrumento,12,1586,13
18,SGMP,tsnppsp,persona,11,1586,13
19,SGMP,tsnppsp,billetera,11,1586,13
0,SGR,tpusf,servicio,282,6669,13
1,SGR,tpusf,usuario,253,6669,13
2,SGR,tpusf,financiero,245,6669,13
3,SGR,tpusf,deber,115,6669,13
4,SGR,tpusf,sujeto,114,6669,13
5,SGR,tpusf,obligado,104,6669,13
6,SGR,tpusf,proteccion,69,6669,13
7,SGR,tpusf,punto,60,6669,13
8,SGR,tpusf,producto,59,6669,13
9,SGR,tpusf,ser,49,6669,13
10,SGR,tpusf,credito,49,6669,13
11,SGR,tpusf,cuenta,47,6669,13
12,SGR,tpusf,caso,44,6669,13
13,SGR,tpusf,norma,44,6669,13
14,SGR,tpusf,contrato,44,6669,13
15,SGR,tpusf,cargo,42,6669,13
16,SGR,tpusf,comision,41,6669,13
17,SGR,tpusf,atencion,40,6669,13
18,SGR,tpusf,entidad,40,6669,13
19,SGR,tpusf,previsto,40,6669,13
0,SGMP,tpimf,deber,159,4780,13
1,SGMP,tpimf,imf,134,4780,13
2,SGMP,tpimf,riesgo,91,4780,13
3,SGMP,tpimf,procedimiento,56,4780,13
4,SGMP,tpimf,participante,56,4780,13
5,SGMP,tpimf,sistema,53,4780,13
6,SGMP,tpimf,mercado,51,4780,13
7,SGMP,tpimf,ser,41,4780,13
8,SGMP,tpimf,liquidacion,40,4780,13
9,SGMP,tpimf,poder,36,4780,13
10,SGMP,tpimf,financiero,35,4780,13
11,SGMP,tpimf,pago,34,4780,13
12,SGMP,tpimf,cada,32,4780,13
13,SGMP,tpimf,liquidez,31,4780,13
14,SGMP,tpimf,gestion,29,4780,13
15,SGMP,tpimf,pimfs,27,4780,13
16,SGMP,tpimf,valor,26,4780,13
17,SGMP,tpimf,recurso,26,4780,13
18,SGMP,tpimf,consideracion,25,4780,13
19,SGMP,tpimf,principio,24,4780,13
0,SGMP,trrci,ciberincidente,47,1964,13
1,SGMP,trrci,recuperacion,32,1964,13
2,SGMP,trrci,incidente,28,1964,13
3,SGMP,trrci,actividad,27,1964,13
4,SGMP,trrci,comunicacion,26,1964,13
5,SGMP,trrci,servicio,26,1964,13
6,SGMP,trrci,respuesta,25,1964,13
7,SGMP,trrci,sistema,24,1964,13
8,SGMP,trrci,informacion,22,1964,13
9,SGMP,trrci,necesario,20,1964,13
10,SGMP,trrci,poder,19,1964,13
11,SGMP,trrci,lineamientos,18,1964,13
12,SGMP,trrci,rrci,17,1964,13
13,SGMP,trrci,deber,17,1964,13
14,SGMP,trrci,acuerdo,15,1964,13
15,SGMP,trrci,restauracion,13,1964,13
16,SGMP,trrci,riesgo,13,1964,13
17,SGMP,trrci,ser,13,1964,13
18,SGMP,trrci,proveedor,13,1964,13
19,SGMP,trrci,dato,13,1964,13
0,SGMP,tseguef,seguridad,120,3389,13
1,SGMP,tseguef,entidad,111,3389,13
2,SGMP,tseguef,financiero,91,3389,13
3,SGMP,tseguef,minimo,77,3389,13
4,SGMP,tseguef,deber,77,3389,13
5,SGMP,tseguef,medida,66,3389,13
6,SGMP,tseguef,segun,35,3389,13
7,SGMP,tseguef,sucursal,31,3389,13
8,SGMP,tseguef,dispositivo,26,3389,13
9,SGMP,tseguef,valor,24,3389,13
10,SGMP,tseguef,sistema,23,3389,13
11,SGMP,tseguef,elemento,23,3389,13
12,SGMP,tseguef,terminal,23,3389,13
13,SGMP,tseguef,tesoro,22,3389,13
14,SGMP,tseguef,comunicacion,21,3389,13
15,SGMP,tseguef,caja,21,3389,13
16,SGMP,tseguef,norma,21,3389,13
17,SGMP,tseguef,automatica,20,3389,13
18,SGMP,tseguef,contar,20,3389,13
19,SGMP,tseguef,atencion,17,3389,13
0,SGMP,tsnpmep,transferencia,196,7875,13
1,SGMP,tsnpmep,cuenta,193,7875,13
2,SGMP,tsnpmep,pago,187,7875,13
3,SGMP,tsnpmep,moneda,184,7875,13
4,SGMP,tsnpmep,entidad,183,7875,13
5,SGMP,tsnpmep,operatorio,174,7875,13
6,SGMP,tsnpmep,horario,159,7875,13
7,SGMP,tsnpmep,uso,151,7875,13
8,SGMP,tsnpmep,electronico,143,7875,13
9,SGMP,tsnpmep,medio,136,7875,13
10,SGMP,tsnpmep,abreviado,136,7875,13
11,SGMP,tsnpmep,sistema,115,7875,13
12,SGMP,tsnpmep,financiero,103,7875,13
13,SGMP,tsnpmep,peso,97,7875,13
14,SGMP,tsnpmep,operacion,86,7875,13
15,SGMP,tsnpmep,banco,75,7875,13
16,SGMP,tsnpmep,abierto,67,7875,13
17,SGMP,tsnpmep,multimoneda,64,7875,13
18,SGMP,tsnpmep,fondo,61,7875,13
19,SGMP,tsnpmep,codigo,58,7875,13
0,SGMP,tsnpatm,financiero,30,594,13
1,SGMP,tsnpatm,cajero,25,594,13
2,SGMP,tsnpatm,automaticos,21,594,13
3,SGMP,tsnpatm,entidad,19,594,13
4,SGMP,tsnpatm,deber,13,594,13
5,SGMP,tsnpatm,empresa,10,594,13
6,SGMP,tsnpatm,huella,9,594,13
7,SGMP,tsnpatm,digital,9,594,13
8,SGMP,tsnpatm,cuenta,9,594,13
9,SGMP,tsnpatm,comunicacion,8,594,13
10,SGMP,tsnpatm,acceso,8,594,13
11,SGMP,tsnpatm,lector,8,594,13
12,SGMP,tsnpatm,operar,7,594,13
13,SGMP,tsnpatm,operacion,7,594,13
14,SGMP,tsnpatm,biometrico,7,594,13
15,SGMP,tsnpatm,servicio,7,594,13
16,SGMP,tsnpatm,norma,6,594,13
17,SGMP,tsnpatm,identificacion,6,594,13
18,SGMP,tsnpatm,persona,6,594,13
19,SGMP,tsnpatm,usuario,6,594,13
